"","worst_deal","better_deal","binary_target"
"0","8597734.0","11472869.0","1.0"
"1","11472869.0","8597734.0","0.0"
"2","7294741.0","11472869.0","1.0"
"3","11472869.0","7294741.0","0.0"
"4","7294741.0","8597734.0","1.0"
"5","8597734.0","7294741.0","0.0"
"6","10106328.0","7294741.0","1.0"
"7","7294741.0","10106328.0","0.0"
"8","10106328.0","11472869.0","1.0"
"9","11472869.0","10106328.0","0.0"
"10","10106328.0","8597734.0","1.0"
"11","8597734.0","10106328.0","0.0"
"12","11128327.0","11472869.0","1.0"
"13","11472869.0","11128327.0","0.0"
"14","11128327.0","10106328.0","1.0"
"15","10106328.0","11128327.0","0.0"
"16","11128327.0","7294741.0","1.0"
"17","7294741.0","11128327.0","0.0"
"18","11128327.0","8597734.0","1.0"
"19","8597734.0","11128327.0","0.0"
"20","12039411.0","10106328.0","1.0"
"21","10106328.0","12039411.0","0.0"
"22","12039411.0","7294741.0","1.0"
"23","7294741.0","12039411.0","0.0"
"24","12039411.0","11472869.0","1.0"
"25","11472869.0","12039411.0","0.0"
"26","12039411.0","8597734.0","1.0"
"27","8597734.0","12039411.0","0.0"
"28","12039411.0","11128327.0","1.0"
"29","11128327.0","12039411.0","0.0"
"30","6601918.0","8597734.0","1.0"
"31","8597734.0","6601918.0","0.0"
"32","6601918.0","7294741.0","1.0"
"33","7294741.0","6601918.0","0.0"
"34","6601918.0","10106328.0","1.0"
"35","10106328.0","6601918.0","0.0"
"36","6601918.0","12039411.0","1.0"
"37","12039411.0","6601918.0","0.0"
"38","6601918.0","11472869.0","1.0"
"39","11472869.0","6601918.0","0.0"
"40","6601918.0","11128327.0","1.0"
"41","11128327.0","6601918.0","0.0"
"42","8984512.0","11472869.0","1.0"
"43","11472869.0","8984512.0","0.0"
"44","8984512.0","12039411.0","1.0"
"45","12039411.0","8984512.0","0.0"
"46","8984512.0","10106328.0","1.0"
"47","10106328.0","8984512.0","0.0"
"48","8984512.0","7294741.0","1.0"
"49","7294741.0","8984512.0","0.0"
"50","8984512.0","8597734.0","1.0"
"51","8597734.0","8984512.0","0.0"
"52","8984512.0","11128327.0","1.0"
"53","11128327.0","8984512.0","0.0"
"54","8984512.0","6601918.0","1.0"
"55","6601918.0","8984512.0","0.0"
"56","8413492.0","8984512.0","1.0"
"57","8984512.0","8413492.0","0.0"
"58","8413492.0","11472869.0","1.0"
"59","11472869.0","8413492.0","0.0"
"60","8413492.0","12039411.0","1.0"
"61","12039411.0","8413492.0","0.0"
"62","8413492.0","10106328.0","1.0"
"63","10106328.0","8413492.0","0.0"
"64","8413492.0","7294741.0","1.0"
"65","7294741.0","8413492.0","0.0"
"66","8413492.0","8597734.0","1.0"
"67","8597734.0","8413492.0","0.0"
"68","8413492.0","11128327.0","1.0"
"69","11128327.0","8413492.0","0.0"
"70","8413492.0","6601918.0","1.0"
"71","6601918.0","8413492.0","0.0"
"72","7541851.0","7294741.0","1.0"
"73","7294741.0","7541851.0","0.0"
"74","7541851.0","8597734.0","1.0"
"75","8597734.0","7541851.0","0.0"
"76","7541851.0","10106328.0","1.0"
"77","10106328.0","7541851.0","0.0"
"78","7541851.0","12039411.0","1.0"
"79","12039411.0","7541851.0","0.0"
"80","7541851.0","11472869.0","1.0"
"81","11472869.0","7541851.0","0.0"
"82","7541851.0","6601918.0","1.0"
"83","6601918.0","7541851.0","0.0"
"84","7541851.0","8413492.0","1.0"
"85","8413492.0","7541851.0","0.0"
"86","7541851.0","8984512.0","1.0"
"87","8984512.0","7541851.0","0.0"
"88","7541851.0","11128327.0","1.0"
"89","11128327.0","7541851.0","0.0"
"90","6068934.0","7294741.0","1.0"
"91","7294741.0","6068934.0","0.0"
"92","6068934.0","10106328.0","1.0"
"93","10106328.0","6068934.0","0.0"
"94","6068934.0","12039411.0","1.0"
"95","12039411.0","6068934.0","0.0"
"96","6068934.0","7541851.0","1.0"
"97","7541851.0","6068934.0","0.0"
"98","6068934.0","11472869.0","1.0"
"99","11472869.0","6068934.0","0.0"
"100","6068934.0","8597734.0","1.0"
"101","8597734.0","6068934.0","0.0"
"102","6068934.0","8413492.0","1.0"
"103","8413492.0","6068934.0","0.0"
"104","6068934.0","8984512.0","1.0"
